,text,Label
6735,👍,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6736,FRAUD.. CHOR APP.. DON'T USE.. NEVER INSTALL.. NO CUSTOMER SUPPORT AT ALL,"(Category tensor(1), tensor(1), tensor([1.4093e-06, 1.0000e+00]))"
6737,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
6738,Worst service,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6739,My money has been deducted from demat account but not transferred after so many days.... Worst experience ever,"(Category tensor(1), tensor(1), tensor([0.0037, 0.9963]))"
6740,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
6741,It's a good👍,"(Category tensor(1), tensor(1), tensor([0.0018, 0.9982]))"
6742,simply superb....,"(Category tensor(1), tensor(1), tensor([0.0338, 0.9662]))"
6743,Charts are much favourable...pse like as Zerodha...if we choose 1 weak charts shows only one weak by not show or scroll like zerodha...pse improve,"(Category tensor(1), tensor(1), tensor([5.7583e-06, 9.9999e-01]))"
6744,Do this have option trade facility?,"(Category tensor(1), tensor(1), tensor([9.5366e-05, 9.9990e-01]))"
6745,"Be careful. I had one issue with NAV date and I have raised a ticket. It's been 41 days, no real response or resolution. I'm considering a move now. Just for other invester's information. Over all thing are good until you get any issue as customer support is pathetic.","(Category tensor(1), tensor(1), tensor([0.0028, 0.9972]))"
6746,"Very bad experience, not got money which i had pay for year in SIP, i had redeem my wallet but not got my money on my respect account.. ...... ......................","(Category tensor(1), tensor(1), tensor([0.3534, 0.6466]))"
6747,Excellent,"(Category tensor(1), tensor(1), tensor([0.2514, 0.7486]))"
6748,Nice aap I love it,"(Category tensor(1), tensor(1), tensor([0.0195, 0.9805]))"
6749,This app is very worst app....Never do trading on this app....I have many bad experience by using this app...never download this app and who r using this app uninstall immediately,"(Category tensor(1), tensor(1), tensor([1.1378e-04, 9.9989e-01]))"
6750,This is better app for investment but it would be great if there would be customer care services,"(Category tensor(1), tensor(1), tensor([1.0823e-05, 9.9999e-01]))"
6751,I started investing in mutual fund in this app but there are no option to redeem my money back . Seems like my money got stuck. All i could see here either cancel SIP or invest more but no redemption,"(Category tensor(1), tensor(1), tensor([8.8887e-05, 9.9991e-01]))"
6752,This platform customer support is very good.,"(Category tensor(1), tensor(1), tensor([0.0359, 0.9641]))"
6753,"Having undergone the the due process of opening a/c, the APP still says-your documents are being processed !......and I could not apply for Zajara Tech IPO","(Category tensor(1), tensor(1), tensor([7.8562e-05, 9.9992e-01]))"
6754,"Everything is good but Customer Care Service doesn't care Customer queries, I contacted Help and Support for update my registered email on 26 February 2021 through app but the issue remained same and alse seem some differences in my trade,its really disappointing","(Category tensor(1), tensor(1), tensor([1.9865e-06, 1.0000e+00]))"
6755,Very nice app,"(Category tensor(1), tensor(1), tensor([0.0105, 0.9895]))"
6756,"Groww, You made me so thankful I had to write. I had my moments while growing up. So many achievements, still not a single moment of appreciation. And then you happened. I wasnt even aware of your existence until last year. You and Zerodha came and made my heart shout 'Good going India'. And today when I received that note with the white tshirt you sent, I cried, cried like a baby. I might be just one of the giveaways for you, but you groww, you grew your roots deep inside me - KS much gratitude","(Category tensor(1), tensor(1), tensor([2.8779e-04, 9.9971e-01]))"
6757,Fake app dont believe in on grow custmer service is burst It Uses bad method to increasing custmers,"(Category tensor(1), tensor(1), tensor([1.2333e-04, 9.9988e-01]))"
6758,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6759,"Amazing, everything is butter smooth and verification process... Khudos developers.","(Category tensor(1), tensor(1), tensor([0.0015, 0.9985]))"
6760,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6761,Good Osm,"(Category tensor(1), tensor(1), tensor([0.1648, 0.8352]))"
6762,Not receiving calls . Doesnt get reply on call,"(Category tensor(1), tensor(1), tensor([0.0030, 0.9970]))"
6763,best and easy to use.,"(Category tensor(0), tensor(0), tensor([0.6487, 0.3513]))"
6764,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
6765,Customer care service is too poor. I'm waiting half an hour for assisting.. but no response..u have to upgrade your customer service..,"(Category tensor(1), tensor(1), tensor([5.0708e-05, 9.9995e-01]))"
6766,"Very good app , excellent app. I like it ..😍😍😍","(Category tensor(1), tensor(1), tensor([9.1568e-05, 9.9991e-01]))"
6767,Best experience,"(Category tensor(1), tensor(1), tensor([0.0601, 0.9399]))"
6768,I am really helpful this app and so cute this app and very useful this quick response now and enjoy this app 💕💕😊🔥🙏,"(Category tensor(1), tensor(1), tensor([7.0477e-06, 9.9999e-01]))"
6769,"Best Groww, Investing in mutual funds and stocks are made easy, fast & secured. Funds & stocks in a few minutes from the comfort.","(Category tensor(1), tensor(1), tensor([0.2127, 0.7873]))"
6770,I really request to all my friends download this app Trade stock application,"(Category tensor(1), tensor(1), tensor([1.6007e-04, 9.9984e-01]))"
6771,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6772,"Ship Groww, Investin stocks fast & secured. Enjoy 100% paperless onboarding without any hassles and Invest in the best mutual.","(Category tensor(1), tensor(1), tensor([0.0025, 0.9975]))"
6773,Good 😊,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
6774,Best investment application very easy to use this application free investing in mutual fund easy to invest in mutual fund good working application really amazing,"(Category tensor(1), tensor(1), tensor([1.3675e-04, 9.9986e-01]))"
6775,Great application good good working application excellent application helpful application nice.,"(Category tensor(1), tensor(1), tensor([5.7652e-04, 9.9942e-01]))"
6776,"This is a Groww, Investing in mutual funds and stocks are made easy, fast & secured.Best mutual funds & stocks.","(Category tensor(1), tensor(1), tensor([0.0019, 0.9981]))"
6777,This is the very good Indian app Trade stock app,"(Category tensor(1), tensor(1), tensor([6.8342e-04, 9.9932e-01]))"
6778,This application latest version is really awosome axix mutual fund,"(Category tensor(1), tensor(1), tensor([3.2261e-05, 9.9997e-01]))"
6779,Stocks hassles the best mutual funds & stocks in a few minutes from the comfort of your house.,"(Category tensor(1), tensor(1), tensor([0.0068, 0.9932]))"
6780,just started this app,"(Category tensor(1), tensor(1), tensor([0.0179, 0.9821]))"
6781,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6782,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6783,Changing default account is difficult in this app Any solution process,"(Category tensor(0), tensor(0), tensor([0.8112, 0.1888]))"
6784,"5paisa app is good except for these few annoying features: 1. Frequently the App prompts you to rate the App. I have done this twice earlier and I'm getting this prompt again and again. 2. Once in a month it prompts for PIN to be entered, not sure how this feature is useful, when someone is able to view the messages for a month and then if PIN is entered wrong. 3. Asking to donate for the App, though this is less frequent, it should keep track of donation given and then prompt after an year.","(Category tensor(1), tensor(1), tensor([0.0050, 0.9950]))"
6785,Not bad,"(Category tensor(1), tensor(1), tensor([0.0216, 0.9784]))"
6786,Goid,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6787,poor chart quality and user interface.,"(Category tensor(1), tensor(1), tensor([0.0027, 0.9973]))"
6788,very good,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
6789,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6790,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6791,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6792,👍,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6793,vvv good apps for trending,"(Category tensor(1), tensor(1), tensor([0.0024, 0.9976]))"
6794,Very good application,"(Category tensor(1), tensor(1), tensor([0.0073, 0.9927]))"
6795,😊,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6796,Excellent trading app,"(Category tensor(1), tensor(1), tensor([0.0040, 0.9960]))"
6797,Namrata,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6798,Worst aap,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6799,get ready for you,"(Category tensor(1), tensor(1), tensor([0.2728, 0.7272]))"
6800,Fiveruppes ruppesfive,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6801,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6802,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6803,Nice App for trading stock market Best supporting staff solve my query short time Nidhi Supporting staff so best resolve my qeury,"(Category tensor(1), tensor(1), tensor([4.5040e-05, 9.9995e-01]))"
6804,I am satisfied with Khalil Ansari Ji.,"(Category tensor(1), tensor(1), tensor([0.0051, 0.9949]))"
6805,Deepika Excellent customer service.,"(Category tensor(1), tensor(1), tensor([7.4424e-04, 9.9926e-01]))"
6806,Nidhi and Laxmi,"(Category tensor(1), tensor(1), tensor([0.0722, 0.9278]))"
6807,5 paisa is really a worst app😡😡 Never Ever use this app They deactivate demat account for no reason & asking for kyc again & again Customer support is really poor They talk to clients very rudely My humble request to all the investors never ever use this app🙏,"(Category tensor(1), tensor(1), tensor([2.0007e-05, 9.9998e-01]))"
6808,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6809,First time,"(Category tensor(1), tensor(1), tensor([0.0869, 0.9131]))"
6810,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6811,"Overall I Started 5Paisha to be useful, and generally more secure than using my credit card for online purchases. However, I wish PayPal Credit was more upfront with how long it takes payments to reflect on your limit. I paid my balance in full 3 weeks ago, but my available credit is still only $900; my line of credit total is 1400. It shows a $0 amount utilized/due. If it takes a month for a payment to reflect in the limit, you should say that, rather than telling customers it only takes 8 day.","(Category tensor(1), tensor(1), tensor([2.7066e-04, 9.9973e-01]))"
6812,nice,"(Category tensor(1), tensor(1), tensor([0.2413, 0.7587]))"
6813,"I started Really 5Paisha Broking, i immediately fell in love with this game as soon as i started playing. everything is amazing, the graphics, the design, the map, everything. the gameplay is lovely, though it sometimes lags while the cut scenes are playing, it might just be my phone though. but something ive noticed is that i can't pick up things as fast? not sure I it's just me, but this has definitely been a wonderful experience. looking forward to future updates 5Paisha app!","(Category tensor(1), tensor(1), tensor([4.7975e-04, 9.9952e-01]))"
6814,Sakshi 10/10,"(Category tensor(1), tensor(1), tensor([0.0030, 0.9970]))"
6815,"It's a very good app, you can make friends and that but something really annoying happens. I hate it when you buy something and the creator of that item of clothing deletes it. The worst thing that happens is that you don't get your robux back. So I think that there should be a update where the creator of the clothing is not aloud to delete it, or you get the robux that you spent back,because once I spent 75 robux on a really nice shirt and a few days later it got deleted.","(Category tensor(1), tensor(1), tensor([2.5058e-04, 9.9975e-01]))"
6816,nice,"(Category tensor(1), tensor(1), tensor([0.2413, 0.7587]))"
6817,"Sakshi, Very polite and Good explation","(Category tensor(1), tensor(1), tensor([0.0068, 0.9932]))"
6818,Worst high charges,"(Category tensor(0), tensor(0), tensor([0.6795, 0.3205]))"
6819,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6820,@Kamini patil,"(Category tensor(1), tensor(1), tensor([0.1698, 0.8302]))"
6821,Really good app. I've had this game for almost 5 months now and I have not had any problems except for now. The new update came out and everything glitches. When I enter the home screen for the game it freezes and won't let me exit out or press on any lobby. I have to wait a minute for it to unfreeze and if I try to hit the home button to refresh the game it says I can't join any lobby at all. So then I have to exit out completely. then when you join the same lobby it's a black screen.,"(Category tensor(1), tensor(1), tensor([0.0015, 0.9985]))"
6822,Pankaj,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6823,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6824,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6825,"HEVC movie not supported on android 5.0, please fix this problem.","(Category tensor(1), tensor(1), tensor([0.1875, 0.8125]))"
6826,इसे ऐप से मेरे अकाउंट से 250 कट गए है यह ऐप बहुत खराब है आपकी पूरी जानकारी लेकर आपका डाटा चोरी कर सकता है,"(Category tensor(1), tensor(1), tensor([2.0621e-09, 1.0000e+00]))"
6827,Better service Kamini,"(Category tensor(1), tensor(1), tensor([0.0991, 0.9009]))"
6828,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6829,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6830,kamini nice explain,"(Category tensor(1), tensor(1), tensor([0.1013, 0.8987]))"
6831,Beka fake application. Just paice khich ne k liye. 👎👎👎👎,"(Category tensor(1), tensor(1), tensor([9.1226e-05, 9.9991e-01]))"
6832,great app,"(Category tensor(1), tensor(1), tensor([0.0791, 0.9209]))"
6833,It's worst they are cheater and get your hard earned money without follow rules Pls don't trade with them.,"(Category tensor(1), tensor(1), tensor([0.0144, 0.9856]))"
6834,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6835,very nice app,"(Category tensor(1), tensor(1), tensor([0.0148, 0.9852]))"
6836,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6837,Vivek provide very good information while adding segment. Customer executives are very polite provide very useful information. I am complete satisfied with Vivek for information given to me regarding segment addition,"(Category tensor(1), tensor(1), tensor([6.7870e-05, 9.9993e-01]))"
6838,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6839,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6840,Feak app hai money withdraw nhi hota hai,"(Category tensor(1), tensor(1), tensor([4.4717e-05, 9.9996e-01]))"
6841,Good experience with Kamini patil,"(Category tensor(1), tensor(1), tensor([0.0392, 0.9608]))"
6842,nice,"(Category tensor(1), tensor(1), tensor([0.2413, 0.7587]))"
6843,Worst ever app They charge u for everything.,"(Category tensor(1), tensor(1), tensor([0.0062, 0.9938]))"
6844,nice app,"(Category tensor(1), tensor(1), tensor([0.1426, 0.8574]))"
6845,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6846,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6847,this app better but when redeem fund does not go to bank account,"(Category tensor(1), tensor(1), tensor([0.0050, 0.9950]))"
6848,Ritesh Dubey,"(Category tensor(1), tensor(1), tensor([0.0160, 0.9840]))"
6849,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6850,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6851,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6852,Kamini,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6853,Shakshi good job,"(Category tensor(1), tensor(1), tensor([0.0376, 0.9624]))"
6854,When i sold my holding it showing negative quantity why ? Please help asap ticket no #5553882 i bough powergrid 15 stocks at 223.95 and sold all 15 stocks of powergrid at 228.35 then why they showing it as short sell inspite of showing p&l please help,"(Category tensor(1), tensor(1), tensor([9.1605e-05, 9.9991e-01]))"
6855,App ko update karna padta he Aur password her bar dena padta he jabki log out nahi kiya.,"(Category tensor(1), tensor(1), tensor([2.7819e-05, 9.9997e-01]))"
6856,Getting fraud calls and they ask for otp to continue account open process,"(Category tensor(1), tensor(1), tensor([0.0024, 0.9976]))"
6857,Neha ji thanks you,"(Category tensor(1), tensor(1), tensor([0.0182, 0.9818]))"
6858,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6859,🙂,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6860,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6861,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6862,osm app,"(Category tensor(1), tensor(1), tensor([0.1698, 0.8302]))"
6863,Deepika,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6864,"19.03.2021 - Not showing required details while trading, hence have to suffer loses. For trading it's not good platform","(Category tensor(1), tensor(1), tensor([9.0259e-07, 1.0000e+00]))"
6865,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6866,Nidhi,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6867,Sakshi ..thnkuuu,"(Category tensor(1), tensor(1), tensor([0.0119, 0.9881]))"
6868,Very poor service,"(Category tensor(1), tensor(1), tensor([0.0151, 0.9849]))"
6869,excellent,"(Category tensor(1), tensor(1), tensor([0.2360, 0.7640]))"
6870,Super baba,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6871,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6872,"Well for me its a very good app , the only feedback I'd like to give is that there are so many advertisements that disturbs us while watching some serious shows 😁","(Category tensor(1), tensor(1), tensor([0.0016, 0.9984]))"
6873,আজিজুর,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6874,"Bhai, YouTube ki trah banana h na to ads ko control kro, 4 times ek video forward kiya aur 4 time ls do do ads aaye. Irritation hone lga h app se. Ads dikhao par irritate na kro.","(Category tensor(1), tensor(1), tensor([5.8634e-07, 1.0000e+00]))"
6875,Good❤,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
6876,Nice one Game of thrones season with the day happy to be back in the day,"(Category tensor(1), tensor(1), tensor([0.0314, 0.9686]))"
6877,Nice aap but aids so many,"(Category tensor(1), tensor(1), tensor([0.0025, 0.9975]))"
6878,It's a great app and the best i have ever seen,"(Category tensor(1), tensor(1), tensor([0.2113, 0.7887]))"
6879,This app is best,"(Category tensor(1), tensor(1), tensor([0.0019, 0.9981]))"
6880,Thanks for this app,"(Category tensor(1), tensor(1), tensor([0.0269, 0.9731]))"
6881,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6882,From great app to horrible.,"(Category tensor(1), tensor(1), tensor([0.0029, 0.9971]))"
6883,Mx player plzz fix maybe Mx player is het phone I have poco x 3 and Mx player is not working properly an het phone Mx player het problem Mx player work not properly some time Stop and than we have to off me phone,"(Category tensor(1), tensor(1), tensor([0.0030, 0.9970]))"
6884,Very incomplete... the old versions are much better.,"(Category tensor(1), tensor(1), tensor([0.0182, 0.9818]))"
6885,Ok,"(Category tensor(1), tensor(1), tensor([0.2736, 0.7264]))"
6886,Asd,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6887,superb,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6888,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6889,Jha. ...............,"(Category tensor(1), tensor(1), tensor([0.0620, 0.9380]))"
6890,Mind Blowing Very Nice Aap,"(Category tensor(1), tensor(1), tensor([0.0546, 0.9454]))"
6891,it's a veri easy and no cost app 😍😍😍,"(Category tensor(1), tensor(1), tensor([0.0011, 0.9989]))"
6892,Supb,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6893,ងហយ,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6894,Like,"(Category tensor(1), tensor(1), tensor([0.3195, 0.6805]))"
6895,Nic,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6896,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6897,very cheep every time ads ads ads ads it is not a video player it is a ads player,"(Category tensor(1), tensor(1), tensor([0.1100, 0.8900]))"
6898,Too many ads. Still lot of ads.,"(Category tensor(0), tensor(0), tensor([0.6918, 0.3082]))"
6899,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6900,So nice,"(Category tensor(1), tensor(1), tensor([0.1599, 0.8401]))"
6901,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
6902,Very good,"(Category tensor(1), tensor(1), tensor([0.0231, 0.9769]))"
6903,Good working,"(Category tensor(1), tensor(1), tensor([0.0805, 0.9195]))"
6904,Not working properly,"(Category tensor(1), tensor(1), tensor([0.0254, 0.9746]))"
6905,Khela habe,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6906,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6907,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6908,Ramesh J kharat,"(Category tensor(1), tensor(1), tensor([0.0119, 0.9881]))"
6909,Super,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6910,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
6911,excellent,"(Category tensor(1), tensor(1), tensor([0.2360, 0.7640]))"
6912,Love,"(Category tensor(1), tensor(1), tensor([0.2224, 0.7776]))"
6913,Good apps,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
6914,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6915,Very good app,"(Category tensor(1), tensor(1), tensor([0.0073, 0.9927]))"
6916,Good ☺️,"(Category tensor(1), tensor(1), tensor([0.0130, 0.9870]))"
6917,Shri Hair Daya 😍,"(Category tensor(1), tensor(1), tensor([0.0058, 0.9942]))"
6918,Ok nice,"(Category tensor(1), tensor(1), tensor([0.2978, 0.7022]))"
6919,I love this app,"(Category tensor(1), tensor(1), tensor([0.0098, 0.9902]))"
6920,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
6921,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
6922,Hi all best friend,"(Category tensor(1), tensor(1), tensor([0.2737, 0.7263]))"
6923,Normal,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6924,It's a very gud app,"(Category tensor(1), tensor(1), tensor([3.8641e-04, 9.9961e-01]))"
6925,Advertisement only.. Five stars for player minus three for advertisement...,"(Category tensor(1), tensor(1), tensor([8.8584e-05, 9.9991e-01]))"
6926,Best video player,"(Category tensor(1), tensor(1), tensor([0.1898, 0.8102]))"
6927,"Feedback: Can't be able to play content from Telegram or Archives After Android 11 update it Show error ""Can't play this file""","(Category tensor(1), tensor(1), tensor([1.2489e-04, 9.9988e-01]))"
6928,Excellent,"(Category tensor(1), tensor(1), tensor([0.2514, 0.7486]))"
6929,All videos format is not playing properly . Please update mx player like play it video player App than i will give five star rating,"(Category tensor(1), tensor(1), tensor([1.8124e-05, 9.9998e-01]))"
6930,Good solition,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
6931,VERY GOOD,"(Category tensor(1), tensor(1), tensor([0.0255, 0.9745]))"
6932,It's good ❣️,"(Category tensor(1), tensor(1), tensor([3.3849e-04, 9.9966e-01]))"
6933,OK,"(Category tensor(1), tensor(1), tensor([0.1464, 0.8536]))"
6934,Grt experience with this app.,"(Category tensor(1), tensor(1), tensor([0.0182, 0.9818]))"
6935,Osm,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6936,Very nice,"(Category tensor(1), tensor(1), tensor([0.0397, 0.9603]))"
6937,Best,"(Category tensor(1), tensor(1), tensor([0.1246, 0.8754]))"
6938,Best,"(Category tensor(1), tensor(1), tensor([0.1246, 0.8754]))"
6939,Aap ne ullu ke series kyu remove kiye Aur jab bhi online koi series dekhta hoon to har 5-10 minite main ad ata hai aur ekdam se volume badh jata hai yeh sab thik karo bhai.,"(Category tensor(1), tensor(1), tensor([2.3591e-09, 1.0000e+00]))"
6940,Its amazing APP for internment I love this APP regular,"(Category tensor(1), tensor(1), tensor([0.0055, 0.9945]))"
6941,Yes outstanding,"(Category tensor(1), tensor(1), tensor([0.2036, 0.7964]))"
6942,Truely superb,"(Category tensor(1), tensor(1), tensor([0.1256, 0.8744]))"
6943,Kuch dino mai porn bhi daaldogeh web series ka bajaye aisa lagta hai😂😂😂😂😂😂😂😂,"(Category tensor(1), tensor(1), tensor([4.7326e-08, 1.0000e+00]))"
6944,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
6945,I love it....❤️❤️❤️❤️❤️,"(Category tensor(1), tensor(1), tensor([3.2932e-07, 1.0000e+00]))"
6946,Worsted,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6947,3rd class application only adds,"(Category tensor(1), tensor(1), tensor([0.0016, 0.9984]))"
6948,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
6949,Best👍💯,"(Category tensor(1), tensor(1), tensor([0.0121, 0.9879]))"
6950,Ok good good good good good good good,"(Category tensor(1), tensor(1), tensor([0.0049, 0.9951]))"
6951,😍,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
6952,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6953,Very nice app,"(Category tensor(1), tensor(1), tensor([0.0105, 0.9895]))"
6954,Awsm,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6955,Kushboo Rani,"(Category tensor(1), tensor(1), tensor([0.0160, 0.9840]))"
6956,"mx player is rubbish app, watch movie, advertisement watch it in 1-1 minutes will never install it in your phone from today. I will stop giving the advertisement otherwise delete it now. , In this way, if you continue to advertise in a minute, then soon people will stop watching your MX PLAYER, they will give 20 advertisements in an hour, if you want to earn money from advertising, then why do you give films?","(Category tensor(1), tensor(1), tensor([8.4414e-05, 9.9992e-01]))"
6957,Osm nice,"(Category tensor(1), tensor(1), tensor([0.2295, 0.7705]))"
6958,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6959,Ok,"(Category tensor(1), tensor(1), tensor([0.2736, 0.7264]))"
6960,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
6961,"Excellent, you are providing excellent programmes for several people who cannot afford costly programmes,for free .I think it is the best time pass for so many people like retired or lonely or any type of people who wants great time pass .you are giving us exceptional good programmes than many others who charged for his programmes. At last i can say that please provide us with many different programmes for free . Thank you.","(Category tensor(1), tensor(1), tensor([0.0736, 0.9264]))"
6962,Goooood,"(Category tensor(1), tensor(1), tensor([0.0279, 0.9721]))"
6963,Ad very poor,"(Category tensor(1), tensor(1), tensor([0.0376, 0.9624]))"
6964,Good app,"(Category tensor(1), tensor(1), tensor([0.0513, 0.9487]))"
6965,tons of adds sometimes 3 back to back reduce adds then reinstall it,"(Category tensor(1), tensor(1), tensor([6.9095e-04, 9.9931e-01]))"
6966,To much ads,"(Category tensor(0), tensor(0), tensor([0.6747, 0.3253]))"
6967,Very slow app in the play Store.,"(Category tensor(0), tensor(0), tensor([0.6956, 0.3044]))"
6968,Verry verry awesome application,"(Category tensor(1), tensor(1), tensor([7.2305e-04, 9.9928e-01]))"
6969,I love old vyng why ringtone very short 1 min give please,"(Category tensor(1), tensor(1), tensor([0.0033, 0.9967]))"
6970,Wow... Liked it.,"(Category tensor(1), tensor(1), tensor([0.3354, 0.6646]))"
6971,❤❤❤,"(Category tensor(1), tensor(1), tensor([0.0460, 0.9540]))"
6972,"The app is damm amazing,snd i just love this application.","(Category tensor(1), tensor(1), tensor([0.0095, 0.9905]))"
6973,Very nice app,"(Category tensor(1), tensor(1), tensor([0.0105, 0.9895]))"
6974,Quick and responsible.,"(Category tensor(1), tensor(1), tensor([0.2808, 0.7192]))"
6975,DELIGHTFUL,"(Category tensor(1), tensor(1), tensor([0.1238, 0.8762]))"
6976,good aap,"(Category tensor(1), tensor(1), tensor([0.1043, 0.8957]))"
6977,very nice time delivery,"(Category tensor(1), tensor(1), tensor([0.0048, 0.9952]))"
6978,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
6979,wrost service and fully mis committed executives,"(Category tensor(1), tensor(1), tensor([5.6832e-04, 9.9943e-01]))"
6980,need to little work on payment system other wise proud on made in India 🇮🇳,"(Category tensor(1), tensor(1), tensor([0.0011, 0.9989]))"
6981,very important aap for medicine,"(Category tensor(1), tensor(1), tensor([0.0016, 0.9984]))"
6982,super,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
